fps=30
frames=13
CherryBomb_leftstem.png|31.000,17.100,0.000,0.5990,0.5990|30.800,16.900,0.000,0.5980,0.5980|30.600,16.600,0.000,0.5980,0.5980|30.400,16.300,0.000,0.5990,0.5990|30.200,16.000,0.000,0.6000,0.6000|30.300,16.200,0.000,0.5990,0.5990|30.400,16.200,0.000,0.5990,0.5990|30.500,16.400,0.000,0.5990,0.5990|30.500,16.500,0.000,0.5980,0.5980|30.600,16.700,0.000,0.5980,0.5980|30.800,16.900,0.000,0.5980,0.5980|30.900,17.000,0.000,0.5980,0.5980|31.000,17.100,0.000,0.5990,0.5990
CherryBomb_left1.png|4.000,30.900,0.000,0.8000,0.8000|2.600,29.500,0.000,0.8470,0.8470|1.500,28.000,0.000,0.8950,0.8950|0.300,26.500,0.000,0.9420,0.9420|-0.600,24.900,0.000,0.9900,0.9900|-0.100,25.700,0.000,0.9660,0.9660|0.300,26.400,0.000,0.9420,0.9420|0.900,27.300,0.000,0.9190,0.9190|1.600,28.100,0.000,0.8950,0.8950|2.000,28.800,0.000,0.8710,0.8710|2.700,29.600,0.000,0.8470,0.8470|3.400,30.300,0.000,0.8240,0.8240|4.000,30.900,0.000,0.8000,0.8000
CherryBomb_left3.png|-12.400,5.300,1.000,1.0370,1.0030|-12.400,5.300,1.000,1.0370,1.0030|-12.400,5.300,1.000,1.0370,1.0030|-12.400,5.300,1.000,1.0370,1.0030|-12.400,5.300,1.000,1.0370,1.0030|-12.400,5.300,1.000,1.0370,1.0030|-12.400,5.300,1.000,1.0370,1.0030|-12.400,5.300,1.000,1.0370,1.0030|-12.400,5.300,1.000,1.0370,1.0030|-12.400,5.300,1.000,1.0370,1.0030|-12.400,5.300,1.000,1.0370,1.0030|-12.400,5.300,1.000,1.0370,1.0030|-12.400,5.300,1.000,1.0370,1.0030
CherryBomb_lefteye11.png|8.700,41.600,0.000,0.8000,0.8000|7.200,40.600,0.000,0.8410,0.8410|5.700,39.500,0.000,0.8820,0.8820|4.100,38.500,0.000,0.9230,0.9230|2.500,37.400,0.000,0.9630,0.9630|3.300,38.000,0.000,0.9430,0.9430|4.000,38.500,0.000,0.9230,0.9230|4.800,39.000,0.000,0.9020,0.9020|5.600,39.600,0.000,0.8820,0.8820|6.300,40.100,0.000,0.8610,0.8610|7.100,40.600,0.000,0.8410,0.8410|7.800,41.100,0.000,0.8200,0.8200|8.700,41.600,0.000,0.8000,0.8000
CherryBomb_lefteye21.png|21.200,44.300,0.000,0.8000,0.8000|20.700,43.500,0.000,0.8410,0.8410|20.300,42.600,0.000,0.8820,0.8820|19.800,41.800,0.000,0.9230,0.9230|19.400,40.900,0.000,0.9630,0.9630|19.600,41.400,0.000,0.9430,0.9430|19.900,41.700,0.000,0.9230,0.9230|20.000,42.100,0.000,0.9020,0.9020|20.300,42.600,0.000,0.8820,0.8820|20.500,43.000,0.000,0.8610,0.8610|20.700,43.400,0.000,0.8410,0.8410|21.000,43.800,0.000,0.8200,0.8200|21.200,44.300,0.000,0.8000,0.8000
CherryBomb_leftmouth1.png|9.200,52.900,0.000,0.8000,0.8000|7.600,52.800,0.000,0.8550,0.8410|6.000,52.700,0.000,0.9100,0.8820|4.400,52.600,0.000,0.9650,0.9230|2.900,52.500,0.000,1.0200,0.9630|3.600,52.600,0.000,0.9920,0.9430|4.400,52.600,0.000,0.9650,0.9230|5.200,52.700,0.000,0.9370,0.9020|6.100,52.800,0.000,0.9100,0.8820|6.800,52.900,0.000,0.8820,0.8610|7.600,52.900,0.000,0.8550,0.8410|8.400,52.900,0.000,0.8270,0.8200|9.200,52.900,0.000,0.8000,0.8000
CherryBomb_rightstem.png|34.000,21.900,0.000,0.5000,0.5000|34.400,21.600,0.000,0.5000,0.5000|34.500,21.300,0.000,0.5000,0.5000|34.800,21.100,0.000,0.5000,0.5000|35.000,20.700,0.000,0.5010,0.5000|35.100,20.600,0.000,0.5010,0.5000|35.400,20.200,0.000,0.5010,0.5000|35.200,20.600,0.000,0.5010,0.5000|35.000,20.700,0.000,0.5010,0.5000|34.800,21.100,0.000,0.5000,0.5000|34.500,21.300,0.000,0.5000,0.5000|34.300,21.600,0.000,0.5000,0.5000|34.000,21.900,0.000,0.5000,0.5000
CherryBomb_right1.png|44.500,31.300,0.000,0.8000,0.8000|44.100,30.900,0.000,0.8270,0.8270|43.900,30.300,0.000,0.8530,0.8530|43.600,29.900,0.000,0.8800,0.8800|43.400,29.400,0.000,0.9060,0.9060|43.000,29.000,0.000,0.9330,0.9330|42.700,28.500,0.000,0.9590,0.9590|43.000,29.000,0.000,0.9330,0.9330|43.300,29.400,0.000,0.9060,0.9060|43.500,30.000,0.000,0.8800,0.8800|43.900,30.400,0.000,0.8530,0.8530|44.100,30.900,0.000,0.8270,0.8270|44.500,31.300,0.000,0.8000,0.8000
CherryBomb_right3.png|26.200,23.300,1.000,1.1160,1.1160|26.200,23.300,1.000,1.1160,1.1160|26.200,23.300,1.000,1.1160,1.1160|26.200,23.300,1.000,1.1160,1.1160|26.200,23.300,1.000,1.1160,1.1160|26.200,23.300,1.000,1.1160,1.1160|26.200,23.300,1.000,1.1160,1.1160|26.200,23.300,1.000,1.1160,1.1160|26.200,23.300,1.000,1.1160,1.1160|26.200,23.300,1.000,1.1160,1.1160|26.200,23.300,1.000,1.1160,1.1160|26.200,23.300,1.000,1.1160,1.1160|26.200,23.300,1.000,1.1160,1.1160
CherryBomb_righteye11.png|66.700,42.000,0.000,0.8000,0.8000|67.200,41.600,0.000,0.8200,0.8200|67.700,41.400,0.000,0.8410,0.8410|68.300,41.000,0.000,0.8620,0.8620|68.900,40.800,0.000,0.8820,0.8820|69.400,40.500,0.000,0.9030,0.9030|69.900,40.100,0.000,0.9230,0.9230|69.300,40.500,0.000,0.9030,0.9030|68.800,40.800,0.000,0.8820,0.8820|68.300,41.000,0.000,0.8620,0.8620|67.700,41.400,0.000,0.8410,0.8410|67.200,41.600,0.000,0.8200,0.8200|66.700,42.000,0.000,0.8000,0.8000
CherryBomb_righteye21.png|51.400,45.500,0.000,0.8000,0.8000|51.200,45.500,0.000,0.8230,0.8230|51.000,45.400,0.000,0.8470,0.8470|50.800,45.500,0.000,0.8700,0.8700|50.500,45.400,0.000,0.8930,0.8930|50.400,45.400,0.000,0.9170,0.9170|50.100,45.400,0.000,0.9400,0.9400|50.400,45.500,0.000,0.9170,0.9170|50.500,45.500,0.000,0.8930,0.8930|50.800,45.500,0.000,0.8700,0.8700|51.000,45.500,0.000,0.8470,0.8470|51.200,45.500,0.000,0.8230,0.8230|51.400,45.500,0.000,0.8000,0.8000
CherryBomb_rightmouth1.png|63.100,50.500,0.000,0.8000,0.8000|63.300,50.700,0.000,0.8620,0.8200|63.400,51.000,0.000,0.9230,0.8410|63.600,51.200,0.000,0.9850,0.8620|63.800,51.400,0.000,1.0460,0.8820|64.000,51.600,0.000,1.1080,0.9030|64.200,51.800,0.000,1.1690,0.9230|64.000,51.500,0.000,1.1080,0.9030|63.900,51.400,0.000,1.0460,0.8820|63.600,51.100,0.000,0.9850,0.8620|63.500,50.900,0.000,0.9230,0.8410|63.300,50.600,0.000,0.8620,0.8200|63.100,50.500,0.000,0.8000,0.8000
